Date,Arduino,C,Cpp,JavaScript,HTML,CSS,Cs,R,SQL,Python,Java,PHP
01/09/2013,1,0,0,0,0,0,0,0,0,0,0,0
01/12/2013,1.5,0,0,0,0,0,0,0,0,0,0,0
01/03/2014,2,0,0,0,0,0,0,0,0,0,0,0
01/06/2014,2.5,0,0,0,0,0,0,0,0,0,0,0
01/09/2014,3,0,0,0,0,0,0,0,0,0,0,0
01/12/2014,3.5,0,0,0,0,0,0,0,0,0,0,0
01/03/2015,4,0,0,0,0,0,0,0,0,0,0,0
01/06/2015,4.3,0,0,0,0,0,0,0,0,0,0,0
01/09/2015,4.6,0,0,0,0,0,0,0,0,0,0,0
01/12/2015,4.7,1,0,0,0,0,0,0,0,0,0,0
01/03/2016,4.8,2,0,0,0,0,0,0,0,0,0,0
01/06/2016,5.1,3,0,0,0,0,0,0,0,0,0,0
01/09/2016,5.5,4,0,0,1,0,0,0,0,0,0,0
01/12/2016,5.8,4.2,0,0,2,1,0,0,0,0,0,0
01/03/2017,6,4.3,0,0,4,2,0,0,0,0,0,0
01/06/2017,6.5,4.4,0,1,5,4,0,0,0,0,0,0
01/09/2017,7,4.6,0,1.5,6,5,0,0,0,0,0,1
01/12/2017,7.5,4.7,0,2,6.2,5.2,0,0,0,0,0,1.5
01/03/2018,7.8,4.8,1,3,6.4,5.3,0,0,0,0,0,2
01/06/2018,8,4.9,2,3.5,6.6,5.6,0,0,0,0,0,2.4
01/09/2018,8.1,5,3,4,6.8,5.8,0,0,0,0,0,2.8
01/12/2018,8.2,5.2,4,4.2,7,6,0,0,0,0,0,3
01/03/2019,8.3,5.6,5,4.4,7.2,6.5,0,0,0,0,0,3.5
01/06/2019,8.5,5.8,6,4.8,7.5,6.6,0,0,0,0,0,3.7
01/09/2019,8.6,6,6.1,5,7.8,6.8,0,0,0,0,1,4
01/12/2019,8.7,6.5,6.4,6,8,7,0,0,1,0,2,4.4
01/03/2020,8.8,7,6.5,6.2,8.4,7.1,0,0,2,0,3,4.6
01/06/2020,8.9,7.8,6.8,6.7,8.6,7.2,0,0,2.5,1,4,4.9
01/09/2020,9,8,7,6.8,8.9,7.4,0,0,3,2,4.1,5
01/12/2020,9.1,8.1,7.2,7,9,7.4,0,0,3.5,3,4.2,5.5
01/03/2021,9.2,8.2,7.4,7.5,9.1,7.5,0,0,4,3.2,4.3,6
01/06/2021,9.3,8.3,7.4,7.7,9.1,7.5,0,0,4.2,3.3,4.4,6.3
01/09/2021,9.4,8.4,7.5,7.9,9.2,7.8,1,1,4.8,3.6,4.5,7
01/12/2021,9.6,8.5,7.5,8.5,9.2,7.9,3,4,4.9,4,5,7.6
01/03/2022,10,8.5,7.6,8.7,9.2,7.9,5,5,5,4.3,5.2,8
01/06/2022,10,8.5,7.7,8.9,9.2,8,5.5,6,5.3,5,5.5,8.1
01/09/2022,10,8.5,7.7,9.2,9.3,8.2,7,6.3,5.5,6,5.8,8.2
01/12/2022,10,8.5,7.7,9.6,9.5,8.5,7.5,7,6,6.9,6.1,8.2
01/03/2023,10,8.5,7.7,9.6,9.5,9,7.5,7.1,6,7,6.2,8.2
01/06/2023,10,8.5,7.7,9.7,9.6,9.4,7.6,7.1,6.2,7,6.2,8.2

01/09/2023,10,8.5,7.7,9.75,9.65,9.5,7.75,7.1,6.4,7,7,8.2

01/12/2023,10,8.5,7.8,9.75,9.65,9.5,7.80,7.1,6.4,7,8,8.2
01/03/2024,10,8.5,  7.9  ,9.75,9.65,9.5,   7.9   ,7.1,6.4,7,   8.5   ,8.2
01/06/2024,10,8.5,  8  ,9.75,9.65,9.6,   8.1   ,7.1,6.4,7,   9.2   ,8.2
01/09/2024,10,8.5,  8.1  ,9.76,9.75,9.65,   8.2   ,7.1,6.4,7,   9.5   ,8.2
01/12/2024,10,8.5,  8.2  ,9.8,9.75,9.65,   8.3   ,7.1,6.4,7,   9.6   ,8.2
01/03/2025,10,8.5,  8.3  ,9.85,9.8,9.65,   8.45   ,7.1,6.4,7,   9.6   ,8.2
01/06/2025,10,8.5,  8.4  ,9.85,9.8,9.65,   8.5   ,7.1,6.4,7,   9.6   ,8.2
